,area_name,area_url
215,Kamakazi Boulder,http://www.mountainproject.com/v/kamakazi-boulder/105974519
216,Lower Fin,http://www.mountainproject.com/v/lower-fin/105746137
217,North Shelf Block,http://www.mountainproject.com/v/north-shelf-block/105746134
218,Red Rocks (Boulder),http://www.mountainproject.com/v/red-rocks-boulder/105746418
219,Ridge Gap Wall,http://www.mountainproject.com/v/ridge-gap-wall/105746533
220,Sanitas Proper,http://www.mountainproject.com/v/sanitas-proper/106468098
221,South Shelf Block,http://www.mountainproject.com/v/south-shelf-block/105746659
222,Turd Boulder aka Leaning Boulder,http://www.mountainproject.com/v/turd-boulder-aka-leaning-boulder/105746767
223,Upper Fin,http://www.mountainproject.com/v/upper-fin/106140395
224,Bat Cove,http://www.mountainproject.com/v/bat-cove/106348830
225,Candle Stick Crag,http://www.mountainproject.com/v/candle-stick-crag/106353784
226,"Chamber, The",http://www.mountainproject.com/v/the-chamber/106367962
227,Classic Cliff,http://www.mountainproject.com/v/classic-cliff/105831265
228,Dream Dome,http://www.mountainproject.com/v/dream-dome/105744665
229,"Greenhouse, The",http://www.mountainproject.com/v/the-greenhouse/105831287
230,"Icon, The",http://www.mountainproject.com/v/the-icon/105744873
231,Jessica's Block,http://www.mountainproject.com/v/jessicas-block/106347449
232,Lost Angel,http://www.mountainproject.com/v/lost-angel/105744668
233,Midnight Rock,http://www.mountainproject.com/v/midnight-rock/105744674
234,Oceanic Wall,http://www.mountainproject.com/v/oceanic-wall/105744662
235,"Spider's Den, The",http://www.mountainproject.com/v/the-spiders-den/105847114
236,"Steeple, The",http://www.mountainproject.com/v/the-steeple/106378811
237,"Terrace, The",http://www.mountainproject.com/v/the-terrace/105746197
238,Thunder Point,http://www.mountainproject.com/v/thunder-point/105746066
239,Touch of Grey Slabs,http://www.mountainproject.com/v/touch-of-grey-slabs/106367993
240,Turtle Dome,http://www.mountainproject.com/v/turtle-dome/106367934
241,Universal Crag,http://www.mountainproject.com/v/universal-crag/105746498
242,Vanishing Point,http://www.mountainproject.com/v/vanishing-point/105744677
243,Water Slabs,http://www.mountainproject.com/v/water-slabs/105744671
244,First Tier,http://www.mountainproject.com/v/first-tier/105810437
245,Second Tier,http://www.mountainproject.com/v/second-tier/105810440
246,Third Tier,http://www.mountainproject.com/v/third-tier/105810461
247,Aquarium Wall,http://www.mountainproject.com/v/aquarium-wall/105864851
248,Bean Liquor Wall,http://www.mountainproject.com/v/bean-liquor-wall/105864858
249,Bell Buttress - Main Crag,http://www.mountainproject.com/v/bell-buttress---main-crag/105745079
250,"Patio, The",http://www.mountainproject.com/v/the-patio/105864854
